date;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
25.2.2000;-0.85;-0.598599503;-0.449510426;-0.359904642;-0.317583703;-0.293029815;-0.278027103;-0.2691562;-0.264988251;-0.264988251;-0.2691562;-0.278027103;-0.293029815;-0.317583703;-0.359904642;-0.449510426;-0.598599503;-0.85
26.2.2000;-0.85;-0.60490789;-0.449881435;-0.361540764;-0.320860232;-0.296278356;-0.281098815;-0.272134574;-0.267934801;-0.267934801;-0.272134574;-0.281098815;-0.296278356;-0.320860232;-0.361540764;-0.449881435;-0.60490789;-0.85
27.2.2000;-0.85;-0.610103382;-0.451043153;-0.363567337;-0.323824866;-0.299354368;-0.284089834;-0.275055615;-0.270824774;-0.270824774;-0.275055615;-0.284089834;-0.299354368;-0.323824866;-0.363567337;-0.451043153;-0.610103382;-0.85
28.2.2000;-0.85;-0.614452227;-0.452789934;-0.365864118;-0.326630762;-0.302293178;-0.286995266;-0.277914073;-0.273658272;-0.273658272;-0.277914073;-0.286995266;-0.302293178;-0.326630762;-0.365864118;-0.452789934;-0.614452227;-0.85
29.2.2000;-0.85;-0.618150018;-0.454975119;-0.368365956;-0.329354438;-0.305128731;-0.289821257;-0.280709994;-0.276435924;-0.276435924;-0.280709994;-0.289821257;-0.305128731;-0.329354438;-0.368365956;-0.454975119;-0.618150018;-0.85
1.3.2000;-0.85;-0.621358791;-0.45751488;-0.371051092;-0.332051428;-0.307903687;-0.292593699;-0.283462751;-0.279175315;-0.279175315;-0.283462751;-0.292593699;-0.307903687;-0.332051428;-0.371051092;-0.45751488;-0.621358791;-0.85
2.3.2000;-0.85;-0.624152719;-0.460298049;-0.373853475;-0.334705638;-0.310602309;-0.295288359;-0.286142969;-0.281845226;-0.281845226;-0.286142969;-0.295288359;-0.310602309;-0.334705638;-0.373853475;-0.460298049;-0.624152719;-0.85
3.3.2000;-0.85;-0.626629979;-0.463283075;-0.376757391;-0.337332657;-0.313245179;-0.297921712;-0.288763349;-0.284457486;-0.284457486;-0.288763349;-0.297921712;-0.313245179;-0.337332657;-0.376757391;-0.463283075;-0.626629979;-0.85
4.3.2000;-0.85;-0.628871776;-0.466442392;-0.379748953;-0.339940999;-0.315847498;-0.300507813;-0.291335601;-0.287022269;-0.287022269;-0.291335601;-0.300507813;-0.315847498;-0.339940999;-0.379748953;-0.466442392;-0.628871776;-0.85
5.3.2000;-0.85;-0.630936911;-0.469743423;-0.382802417;-0.342524192;-0.318409596;-0.303047687;-0.293859635;-0.289538568;-0.289538568;-0.293859635;-0.303047687;-0.318409596;-0.342524192;-0.382802417;-0.469743423;-0.630936911;-0.85
6.3.2000;-0.85;-0.579585543;-0.416737296;-0.333990822;-0.296228883;-0.27286615;-0.257986133;-0.249049025;-0.244834192;-0.244834192;-0.249049025;-0.257986133;-0.27286615;-0.296228883;-0.333990822;-0.416737296;-0.579585543;-0.85
7.3.2000;-0.85;-0.566622117;-0.40240391;-0.322889619;-0.285600266;-0.262530054;-0.247836849;-0.238986351;-0.234799277;-0.234799277;-0.238986351;-0.247836849;-0.262530054;-0.285600266;-0.322889619;-0.40240391;-0.566622117;-0.85
8.3.2000;-0.85;-0.561236281;-0.396645926;-0.31958822;-0.282451815;-0.259544346;-0.244960131;-0.236168686;-0.232008375;-0.232008375;-0.236168686;-0.244960131;-0.259544346;-0.282451815;-0.31958822;-0.396645926;-0.561236281;-0.85
9.3.2000;-0.85;-0.538224179;-0.375853885;-0.303217467;-0.26616226;-0.243474383;-0.228994835;-0.220253402;-0.216114747;-0.216114747;-0.220253402;-0.228994835;-0.243474383;-0.26616226;-0.303217467;-0.375853885;-0.538224179;-0.85
10.3.2000;-0.85;-0.52472572;-0.364465662;-0.295240636;-0.258485056;-0.235929637;-0.221526421;-0.212828465;-0.208710719;-0.208710719;-0.212828465;-0.221526421;-0.235929637;-0.258485056;-0.295240636;-0.364465662;-0.52472572;-0.85
11.3.2000;-0.85;-0.499101685;-0.341659899;-0.276590847;-0.240807081;-0.218496159;-0.204164464;-0.195462768;-0.191331976;-0.191331976;-0.195462768;-0.204164464;-0.218496159;-0.240807081;-0.276590847;-0.341659899;-0.499101685;-0.85
12.3.2000;-0.85;-0.500619235;-0.344491946;-0.281065477;-0.245789088;-0.223721713;-0.209517609;-0.200909376;-0.196835419;-0.196835419;-0.200909376;-0.209517609;-0.223721713;-0.245789088;-0.281065477;-0.344491946;-0.500619235;-0.85
13.3.2000;-0.85;-0.491392149;-0.337136347;-0.275715567;-0.241179724;-0.219406975;-0.205344816;-0.196810787;-0.19276483;-0.19276483;-0.196810787;-0.205344816;-0.219406975;-0.241179724;-0.275715567;-0.337136347;-0.491392149;-0.85
14.3.2000;-0.85;-0.493881341;-0.340787487;-0.280164544;-0.246022339;-0.224489759;-0.210569927;-0.202119797;-0.198117862;-0.198117862;-0.202119797;-0.210569927;-0.224489759;-0.246022339;-0.280164544;-0.340787487;-0.493881341;-0.85
