date;0;1;2;3;4;5;6;7;8;9;10;11
5.3.2006;-1.03;-0.588224683;-0.402194851;-0.323886532;-0.292236033;-0.280123632;-0.280123632;-0.292236033;-0.323886532;-0.402194851;-0.588224683;-1.03
6.3.2006;-1.03;-0.603959846;-0.415565259;-0.333480296;-0.300575558;-0.288054772;-0.288054772;-0.300575558;-0.333480296;-0.415565259;-0.603959846;-1.03
7.3.2006;-1.03;-0.618744694;-0.428235802;-0.342816493;-0.308589095;-0.295548738;-0.295548738;-0.308589095;-0.342816493;-0.428235802;-0.618744694;-1.03
8.3.2006;-1.03;-0.632150137;-0.440321158;-0.352101207;-0.316332198;-0.302634218;-0.302634218;-0.316332198;-0.352101207;-0.440321158;-0.632150137;-1.03
9.3.2006;-1.03;-0.619212016;-0.422814557;-0.330794809;-0.293222336;-0.278759881;-0.278759881;-0.293222336;-0.330794809;-0.422814557;-0.619212016;-1.03
10.3.2006;-1.03;-0.603845465;-0.402911018;-0.309069519;-0.270395232;-0.255149956;-0.255149956;-0.270395232;-0.309069519;-0.402911018;-0.603845465;-1.03
11.3.2006;-1.03;-0.601209382;-0.397983226;-0.304435809;-0.266182597;-0.251023671;-0.251023671;-0.266182597;-0.304435809;-0.397983226;-0.601209382;-1.03
12.3.2006;-1.03;-0.598017803;-0.393274576;-0.300453739;-0.262519909;-0.247383718;-0.247383718;-0.262519909;-0.300453739;-0.393274576;-0.598017803;-1.03
13.3.2006;-1.03;-0.608698569;-0.404419485;-0.31175096;-0.274729179;-0.260299764;-0.260299764;-0.274729179;-0.31175096;-0.404419485;-0.608698569;-1.03
14.3.2006;-1.03;-0.61988529;-0.416025069;-0.32233038;-0.285515421;-0.27145047;-0.27145047;-0.285515421;-0.32233038;-0.416025069;-0.61988529;-1.03
15.3.2006;-1.03;-0.630904383;-0.427447185;-0.332352658;-0.295172757;-0.281116422;-0.281116422;-0.295172757;-0.332352658;-0.427447185;-0.630904383;-1.03
16.3.2006;-1.03;-0.641630323;-0.438978573;-0.342570097;-0.304514829;-0.290181024;-0.290181024;-0.304514829;-0.342570097;-0.438978573;-0.641630323;-1.03
17.3.2006;-1.03;-0.651285794;-0.449977369;-0.35250525;-0.313140392;-0.298269749;-0.298269749;-0.313140392;-0.35250525;-0.449977369;-0.651285794;-1.03
18.3.2006;-1.03;-0.633735094;-0.428815985;-0.328668128;-0.288045028;-0.272473393;-0.272473393;-0.288045028;-0.328668128;-0.428815985;-0.633735094;-1.03
19.3.2006;-1.03;-0.644053483;-0.439462295;-0.338801429;-0.298451082;-0.283178736;-0.283178736;-0.298451082;-0.338801429;-0.439462295;-0.644053483;-1.03
20.3.2006;-1.03;-0.653492996;-0.450121394;-0.34911081;-0.308133081;-0.29267839;-0.29267839;-0.308133081;-0.34911081;-0.450121394;-0.653492996;-1.03
21.3.2006;-1.03;-0.66208802;-0.460683036;-0.359495305;-0.317333506;-0.301362543;-0.301362543;-0.317333506;-0.359495305;-0.460683036;-0.66208802;-1.03
22.3.2006;-1.03;-0.670060052;-0.47120176;-0.369915255;-0.326283951;-0.309582886;-0.309582886;-0.326283951;-0.369915255;-0.47120176;-0.670060052;-1.03
23.3.2006;-1.03;-0.677604872;-0.481667646;-0.380125872;-0.334976267;-0.317470141;-0.317470141;-0.334976267;-0.380125872;-0.481667646;-0.677604872;-1.03
24.3.2006;-1.03;-0.667359628;-0.47060414;-0.367848319;-0.321511507;-0.30330245;-0.30330245;-0.321511507;-0.367848319;-0.47060414;-0.667359628;-1.03
25.3.2006;-1.03;-0.636101419;-0.431923812;-0.32548871;-0.279088482;-0.260713893;-0.260713893;-0.279088482;-0.32548871;-0.431923812;-0.636101419;-1.03
26.3.2006;-1.03;-0.623414045;-0.414004141;-0.308077568;-0.263967596;-0.246393808;-0.246393808;-0.263967596;-0.308077568;-0.414004141;-0.623414045;-1.03
27.3.2006;-1.03;-0.604981546;-0.391273928;-0.288560198;-0.245799694;-0.228221361;-0.228221361;-0.245799694;-0.288560198;-0.391273928;-0.604981546;-1.03
28.3.2006;-1.03;-0.607413318;-0.394053982;-0.295278676;-0.25519134;-0.23894941;-0.23894941;-0.25519134;-0.295278676;-0.394053982;-0.607413318;-1.03
29.3.2006;-1.03;-0.616439159;-0.404899937;-0.307766838;-0.269324662;-0.254201556;-0.254201556;-0.269324662;-0.307766838;-0.404899937;-0.616439159;-1.03
30.3.2006;-1.03;-0.626323345;-0.416500094;-0.319260393;-0.281435356;-0.266941406;-0.266941406;-0.281435356;-0.319260393;-0.416500094;-0.626323345;-1.03
31.3.2006;-1.03;-0.636072428;-0.427764853;-0.329714824;-0.291772007;-0.277449281;-0.277449281;-0.291772007;-0.329714824;-0.427764853;-0.636072428;-1.03
1.4.2006;-1.03;-0.645639071;-0.439039711;-0.340109842;-0.30144367;-0.286938208;-0.286938208;-0.30144367;-0.340109842;-0.439039711;-0.645639071;-1.03
2.4.2006;-1.03;-0.654479324;-0.449960501;-0.350328467;-0.310455936;-0.295479174;-0.295479174;-0.310455936;-0.350328467;-0.449960501;-0.654479324;-1.03
3.4.2006;-1.03;-0.662764842;-0.460780169;-0.360680726;-0.319274511;-0.303609325;-0.303609325;-0.319274511;-0.360680726;-0.460780169;-0.662764842;-1.03
4.4.2006;-1.03;-0.670840882;-0.471843617;-0.371422039;-0.32832594;-0.311816479;-0.311816479;-0.32832594;-0.371422039;-0.471843617;-0.670840882;-1.03
5.4.2006;-1.03;-0.678554093;-0.482806713;-0.381917684;-0.337150175;-0.319770298;-0.319770298;-0.337150175;-0.381917684;-0.482806713;-0.678554093;-1.03
6.4.2006;-1.03;-0.685965241;-0.493546237;-0.391887052;-0.345558164;-0.327433051;-0.327433051;-0.345558164;-0.391887052;-0.493546237;-0.685965241;-1.03
7.4.2006;-1.03;-0.664954171;-0.469609498;-0.366105984;-0.318512799;-0.299596878;-0.299596878;-0.318512799;-0.366105984;-0.469609498;-0.664954171;-1.03
8.4.2006;-1.03;-0.6487289;-0.448885427;-0.343056308;-0.296057566;-0.277669999;-0.277669999;-0.296057566;-0.343056308;-0.448885427;-0.6487289;-1.03
9.4.2006;-1.03;-0.658690339;-0.458674858;-0.353142243;-0.30722498;-0.289593449;-0.289593449;-0.30722498;-0.353142243;-0.458674858;-0.658690339;-1.03
10.4.2006;-1.03;-0.667589255;-0.468716506;-0.363773128;-0.317694666;-0.300049591;-0.300049591;-0.317694666;-0.363773128;-0.468716506;-0.667589255;-1.03
